#"+ESI Scan:3 (rt: 3.295-3.449 min, 10 scans) Frag=150.0V CID@60.0 AIF_oxycodone_10 ppm_0_30_60_helium.d "
#Point,X(Thomsons),Y(Counts)
0,43.0551,12208.0458984375
1,44.0510,7803.61376953125
2,55.0547,11379.0986328125
3,57.0705,23914.654296875
4,58.0666,10628.7607421875
5,62.0244,26389.17578125
6,67.0544,8110.39013671875
7,69.0703,9530.60546875
8,70.0657,26897.9921875
9,71.0851,13663.677734375
10,81.0697,10136.626953125
11,83.0852,6827.0546875
12,85.1007,6413.44921875
13,94.0649,9110.7314453125
14,95.0850,10173.998046875
15,115.0537,8404.0869140625
16,128.0619,7931.21337890625
17,131.0529,8167.58154296875
18,132.0697,8491.5234375
19,141.0692,8467.814453125
20,152.0617,7443.390625
21,153.0691,13434.189453125
22,159.0708,6141.25537109375
23,160.0626,6243.841796875
24,161.0786,8142.7958984375
25,165.0692,6197.30810546875
26,168.0780,7256.6875
27,169.0834,11872.7265625
28,170.0915,8849.634765625
29,175.0747,22211.419921875
30,181.0809,26010.65625
31,182.0876,10143.1865234375
32,183.0739,6909.212890625
33,184.0804,6538.45361328125
34,187.0747,41830.90625
35,188.0779,6967.33837890625
36,197.0791,18021.923828125
37,198.0878,17163.953125
38,199.0779,14660.47265625
39,202.0857,7724.869140625
40,210.0881,7699.53857421875
41,211.0819,7406.4599609375
42,212.1055,44056.265625
43,213.0983,26164.337890625
44,224.1047,17126.076171875
45,225.0934,12494.2314453125
46,226.0871,24959.400390625
47,227.0994,10407.662109375
48,228.1166,6084.8359375
49,229.0902,7159.41455078125
50,239.0996,8305.77734375
51,240.1012,15716.060546875
52,241.1081,133444.203125
53,242.1118,26841.482421875
54,252.1002,7317.349609375
55,254.1141,6180.990234375
56,255.1093,7437.330078125
57,256.1328,123314.359375
58,257.1340,23904.638671875
59,270.1351,9305.2099609375
60,280.1310,9751.2587890625
61,283.1189,6092.763671875
62,298.1437,596144.75
63,299.1466,125355.9921875
64,300.1481,16129.89453125
65,314.1371,12761.65625
66,314.3041,10072.3173828125
67,316.1549,249751.984375
68,317.1569,52124.28515625
69,318.1589,7085.34716796875
70,376.0355,13747.142578125
