#"+ESI Scan:3 (rt: 3.382-3.570 min, 12 scans) Frag=150.0V CID@60.0 AIF_oxycodone_0_30_60_Helium_10 ppm.d "
#Point,X(Thomsons),Y(Counts)
0,42.0361,10715.640625
1,43.0564,24016.376953125
2,44.0521,12748.9833984375
3,55.0197,6116.1298828125
4,55.0560,12636.740234375
5,57.0718,52820.390625
6,58.0687,13088.7177734375
7,62.0256,67030.40625
8,67.0559,11561.330078125
9,69.0715,12913.625
10,70.0672,26486.08203125
11,71.0869,30056.873046875
12,74.0253,12487.61328125
13,81.0712,14049.515625
14,83.0866,9866.2783203125
15,85.1024,14031.197265625
16,94.0664,12720.9853515625
17,95.0862,14012.6806640625
18,97.1019,5903.78515625
19,103.0554,4705.82177734375
20,104.0699,6398.9443359375
21,108.0813,4997.91650390625
22,109.1014,7253.15771484375
23,115.0554,13244.2763671875
24,128.0636,11341.0478515625
25,129.0705,8800.05078125
26,131.0541,13270.220703125
27,132.0710,14040.7177734375
28,141.0713,14134.0166015625
29,144.0623,9093.1328125
30,152.0635,11529.5205078125
31,153.0711,22623.169921875
32,154.0762,7185.9462890625
33,155.0759,7633.4140625
34,157.0712,5200.33154296875
35,158.0776,4620.6962890625
36,159.0723,9425.2724609375
37,160.0625,10796.8388671875
38,161.0769,7404.708984375
39,165.0713,9550.5224609375
40,167.0826,6996.95654296875
41,168.0794,11420.8125
42,169.0861,18515.69921875
43,170.0936,14692.30078125
44,171.0843,7468.50439453125
45,172.0744,5657.11474609375
46,175.0770,27478.4765625
47,180.0831,5499.23193359375
48,181.0855,39442.8515625
49,182.0900,15058.2001953125
50,183.0752,10747.8037109375
51,184.0796,9878.36328125
52,185.0722,6839.99755859375
53,187.0771,31467.953125
54,188.0796,5578.794921875
55,189.0895,4699.0771484375
56,194.0958,7540.06396484375
57,195.0890,6545.42626953125
58,196.0906,7930.56640625
59,197.0835,26441.537109375
60,198.0906,29283.00390625
61,199.0810,18566.8046875
62,200.0838,4935.423828125
63,202.0879,6843.591796875
64,209.0835,4953.80126953125
65,210.0900,11946.88671875
66,211.0846,11116.4599609375
67,212.1082,79414.953125
68,213.1055,30103.73828125
69,214.0989,6564.4033203125
70,222.0924,5161.724609375
71,223.0922,4511.1396484375
72,224.1065,15926.025390625
73,225.0923,14134.806640625
74,226.0891,40241.74609375
75,227.0983,12677.1337890625
76,228.1138,6556.13720703125
77,238.1044,4931.501953125
78,239.1006,8351.6494140625
79,240.1034,22787.341796875
80,241.1109,99460.5859375
81,242.1147,20680.931640625
82,252.1033,5624.27001953125
83,254.1160,7238.73193359375
84,255.1119,5595.41552734375
85,256.1354,80593.046875
86,257.1367,15740.474609375
87,266.1187,5019.689453125
88,270.1369,6243.94189453125
89,280.1329,6323.36181640625
90,298.1466,409643.375
91,299.1498,82722
92,300.1510,10592.0810546875
93,314.1403,10526.5927734375
94,314.3071,23183.9140625
95,315.3101,5063.7470703125
96,316.1571,199120.65625
97,317.1599,40151.08984375
98,318.1613,5309.97998046875
99,376.0387,16440.76171875
