#"+ESI Scan:2 (rt: 3.393-3.547 min, 10 scans) Frag=150.0V CID@30.0 AIF_oxycodone_0_30_60_Helium_10 ppm.d "
#Point,X(Thomsons),Y(Counts)
0,70.0669,32729.515625
1,175.0768,17700.494140625
2,187.0768,48965.65234375
3,213.0943,23426.0234375
4,224.1082,16334.64453125
5,241.1108,159759.359375
6,242.1145,30613.390625
7,256.1353,150450.9375
8,257.1363,29881.525390625
9,298.1468,520970.5
10,299.1492,108246.71875
11,300.1499,14620.0556640625
12,310.2762,47602.28515625
13,314.1405,43845.23046875
14,316.1576,1371154.5
15,317.1604,298939.5
16,318.1625,41337.40234375
17,420.0285,24324.3984375
