#"+ESI Scan:3 (rt: 1.944-2.132 min, 12 scans) Frag=150.0V CID@60.0 AIF_oxycodone_10 ppm_0_30_60_nitrogen.d "
#Point,X(Thomsons),Y(Counts)
0,42.0351,729.276794433594
1,43.0548,862.611999511719
2,44.0507,589.155700683594
3,45.0358,392.146392822266
4,55.0185,538.454528808594
5,55.0541,1048.01818847656
6,57.0703,908.721130371094
7,62.0251,983.71142578125
8,67.0542,790.720520019531
9,69.0711,334.642669677734
10,70.0656,749.769470214844
11,81.0695,665.827331542969
12,91.0535,478.998138427734
13,94.0652,1111.29626464844
14,95.0844,466.284240722656
15,103.0546,488.608306884766
16,104.0634,296.830047607422
17,115.0541,1229.74829101563
18,116.0606,287.259490966797
19,117.0652,302.085723876953
20,127.0536,451.881103515625
21,128.0613,1211.23132324219
22,129.0688,896.556457519531
23,130.0685,296.905334472656
24,131.0542,1144.962890625
25,132.0685,1435.17810058594
26,133.0747,298.325653076172
27,141.0686,1744.42163085938
28,142.0741,595.705200195313
29,143.0698,284.916870117188
30,144.0606,957.770812988281
31,145.0628,494.901733398438
32,152.0615,1196.60241699219
33,153.0687,2436.41040039063
34,154.0726,707.373718261719
35,155.0735,768.650634765625
36,156.0671,367.688354492188
37,157.0715,421.31689453125
38,158.0778,434.823272705078
39,159.0695,764.894226074219
40,160.0587,1213.71801757813
41,161.0686,313.201354980469
42,165.0689,1114.26257324219
43,166.0737,390.442504882813
44,167.0810,824.438110351563
45,168.0762,1370.88598632813
46,169.0840,2146.88232421875
47,170.0905,1492.11865234375
48,171.0828,695.90673828125
49,172.0713,571.293579101563
50,174.0851,321.357574462891
51,175.0750,2242.7041015625
52,176.0745,291.261199951172
53,178.0775,474.12158203125
54,179.0835,337.390838623047
55,180.0801,526.989135742188
56,181.0846,3651.76342773438
57,182.0891,1769.22900390625
58,183.0710,1093.98254394531
59,184.0605,1035.65698242188
60,184.1063,1035.69201660156
61,185.0700,706.661743164063
62,186.0759,292.492462158203
63,187.0768,748.6123046875
64,194.0942,757.251281738281
65,195.0854,679.410766601563
66,196.0857,741.159057617188
67,197.0820,2514.96923828125
68,198.0876,2628.53051757813
69,199.0804,1399.64892578125
70,200.0794,471.747711181641
71,207.0725,308.658325195313
72,208.0876,327.248992919922
73,209.0799,469.475921630859
74,210.0881,1162.23315429688
75,211.0798,1120.12341308594
76,212.1054,7566.646484375
77,213.1062,2160.6044921875
78,214.0979,464.353607177734
79,221.0851,457.942291259766
80,222.0894,479.017333984375
81,223.0920,358.317596435547
82,224.1002,974.498046875
83,225.0856,1170.169921875
84,226.0862,4016.634765625
85,227.0936,948.161193847656
86,228.1049,451.229309082031
87,238.0913,421.026184082031
88,239.0941,612.505310058594
89,240.1003,2062.79711914063
90,241.1084,2947.30737304688
91,242.1112,626.966125488281
92,254.1124,557.138000488281
93,256.1330,1293.30517578125
94,257.1328,320.696136474609
95,266.1162,282.253143310547
96,298.1430,4377.5869140625
97,299.1469,764.878479003906
98,316.1534,822.258972167969
99,376.0368,326.501800537109
