#"+ESI Scan:3 (rt: 2.234-2.388 min, 10 scans) Frag=150.0V CID@60.0 AIF_oxycodone_0_30_60_nitrogen.d "
#Point,X(Thomsons),Y(Counts)
0,41.0369,176.037719726563
1,42.0373,343.255126953125
2,43.0551,251.019104003906
3,44.0505,203.326400756836
4,45.0366,420.912017822266
5,55.0169,198.773468017578
6,55.0547,270.343200683594
7,57.0709,383.753265380859
8,58.0661,169.11506652832
9,62.0243,300.513122558594
10,67.0543,357.300201416016
11,70.0653,377.31201171875
12,79.0512,261.225708007813
13,81.0684,237.800048828125
14,82.0636,184.85661315918
15,94.0652,417.493194580078
16,95.0847,344.238616943359
17,103.0544,293.182525634766
18,115.0527,435.844329833984
19,117.0705,144.792373657227
20,127.0543,203.804824829102
21,128.0614,474.84423828125
22,129.0697,369.733123779297
23,130.0647,146.369384765625
24,131.0508,634.253112792969
25,132.0694,604.370361328125
26,133.0668,195.446090698242
27,141.0689,584.06689453125
28,142.0732,163.078643798828
29,144.0573,407.177795410156
30,146.0374,140.890319824219
31,152.0617,454.730255126953
32,153.0690,1003.6044921875
33,154.0733,297.224029541016
34,155.0764,346.989807128906
35,156.0623,193.184036254883
36,157.0667,213.343963623047
37,158.0762,204.056625366211
38,159.0745,378.899993896484
39,160.0574,443.492828369141
40,161.0645,197.891937255859
41,165.0689,447.341491699219
42,166.0735,193.915466308594
43,167.0808,330.899993896484
44,168.0753,459.621520996094
45,169.0863,846.901733398438
46,170.0930,645.74169921875
47,171.0850,274.300231933594
48,172.0749,234.616439819336
49,174.0834,151.583129882813
50,175.0750,980.092163085938
51,176.0763,182.200073242188
52,178.0761,226.600067138672
53,179.0810,219.686828613281
54,180.0813,224.738037109375
55,181.0837,1597.99694824219
56,182.0899,572.590026855469
57,183.0726,373.000183105469
58,184.0614,347.052276611328
59,184.1075,425.876525878906
60,185.0733,229.728591918945
61,187.0753,505.696136474609
62,194.0929,376.678619384766
63,195.0856,267.426879882813
64,196.0872,319.789031982422
65,197.0824,1092.73742675781
66,198.0880,1208.45874023438
67,199.0813,621.756225585938
68,200.0785,173.956283569336
69,202.0860,203.039031982422
70,208.0813,161.669403076172
71,209.0785,181.935455322266
72,210.0856,438.509368896484
73,211.0807,451.000030517578
74,212.1060,3372.22583007813
75,213.1054,1040.85290527344
76,214.0924,203.101760864258
77,215.0996,148.719100952148
78,221.0840,278.92041015625
79,222.0911,186.107040405273
80,223.0925,168.556304931641
81,224.1031,427.247192382813
82,225.0896,475.676177978516
83,226.0866,1726.26135253906
84,227.0940,510.738555908203
85,228.1020,265.600189208984
86,228.1330,160.706283569336
87,238.0905,266.441375732422
88,239.0941,311.163391113281
89,240.1016,996.544372558594
90,241.1074,1983.93322753906
91,242.1133,536.125061035156
92,254.1117,243.961074829102
93,255.1059,150.592880249023
94,256.1320,901.896667480469
95,257.1356,237.65348815918
96,266.1156,195.168029785156
97,298.1441,2136.03662109375
98,299.1470,397.129028320313
99,316.1548,327.593505859375
