#"+ESI Scan:3 (rt: 2.372-2.577 min, 13 scans) Frag=150.0V CID@60.0 AIF_oxycodone_0_30_60_Nitrogen_10 ppm.d "
#Point,X(Thomsons),Y(Counts)
0,42.0359,1878.89001464844
1,44.0515,1220.35266113281
2,55.0201,929.954406738281
3,57.0716,1379.37072753906
4,58.0678,1388.86584472656
5,62.0259,1823.10278320313
6,67.0552,962.868591308594
7,70.0669,1937.66223144531
8,71.0866,780.074340820313
9,81.0705,940.169372558594
10,82.0684,555.778869628906
11,94.0664,2127.81396484375
12,95.0848,1002.13757324219
13,103.0553,1011.97875976563
14,104.0653,495.981506347656
15,108.0813,666.624938964844
16,115.0552,2508.62280273438
17,116.0608,646.746459960938
18,117.0660,493.263214111328
19,127.0552,745.057983398438
20,128.0630,2351.99340820313
21,129.0702,1685.681640625
22,131.0530,2493.07592773438
23,132.0685,2389.71362304688
24,133.0700,664.213317871094
25,141.0710,2762.99462890625
26,142.0766,810.27978515625
27,143.0703,497.157409667969
28,144.0611,1804.89575195313
29,145.0645,678.513793945313
30,146.0477,618.914184570313
31,152.0632,2140.25634765625
32,153.0707,4410.8486328125
33,154.0757,1530.13830566406
34,155.0760,1338.814453125
35,156.0713,641.583923339844
36,157.0725,748.297546386719
37,158.0775,775.782958984375
38,159.0718,1523.18493652344
39,160.0630,1984.93310546875
40,161.0693,851.327758789063
41,165.0715,1750.5830078125
42,166.0754,902.161254882813
43,167.0828,1376.76257324219
44,168.0793,2027.11010742188
45,169.0863,3673.34228515625
46,170.0934,2749.51342773438
47,171.0841,1436.39428710938
48,172.0762,1012.41625976563
49,174.0890,626.794860839844
50,175.0768,4042.7451171875
51,176.0772,607.9658203125
52,178.0793,815.462829589844
53,179.0851,695.722045898438
54,180.0833,1066.96704101563
55,181.0867,6866.61083984375
56,182.0910,3021.95483398438
57,183.0746,1943.50463867188
58,184.0822,1847.14001464844
59,185.0737,1121.97155761719
60,187.0771,2159.93530273438
61,194.0955,1459.89501953125
62,195.0897,1145.84704589844
63,196.0891,1457.99145507813
64,197.0842,4804.98046875
65,198.0908,5291.01953125
66,199.0822,2873.9365234375
67,200.0848,851.404235839844
68,202.0884,652.389770507813
69,208.0897,576.325805664063
70,209.0823,792.138488769531
71,210.0902,2184.59545898438
72,211.0846,2111.23999023438
73,212.1080,14505.0966796875
74,213.1085,4742.650390625
75,214.0992,903.994567871094
76,215.1022,634.634338378906
77,222.0921,908.859619140625
78,223.0935,794.359497070313
79,224.1051,1956.81689453125
80,225.0888,2200.60278320313
81,226.0885,7235.14990234375
82,227.0971,1889.52099609375
83,228.1095,926.441467285156
84,238.0992,955.360961914063
85,239.0980,1237.96618652344
86,240.1033,3975.7353515625
87,241.1106,8335.2119140625
88,242.1153,1883.86853027344
89,252.1032,533.044250488281
90,254.1153,1068.56958007813
91,255.1138,498.974670410156
92,256.1348,4405.47607421875
93,257.1367,876.5927734375
94,266.1180,619.117919921875
95,298.1457,15398.546875
96,299.1487,3009.99267578125
97,314.1403,494.104583740234
98,316.1560,4228.44970703125
99,317.1592,870.110595703125
