#"+ESI Scan:2 (rt: 3.564-3.752 min, 12 scans) Frag=150.0V CID@30.0 AIF_oxycodone_10 ppm_0_30_60_nitrogen.d "
#Point,X(Thomsons),Y(Counts)
0,58.0656,1264.71228027344
1,70.0656,4929.5703125
2,95.0864,965.019653320313
3,161.0802,1642.88830566406
4,175.0748,2940.21533203125
5,181.0643,2526.57934570313
6,187.0748,10148.1162109375
7,188.0780,1519.13549804688
8,189.0890,1339.609375
9,197.0601,1531.96618652344
10,199.0754,2281.6708984375
11,201.0889,850.562255859375
12,202.0858,2046.91931152344
13,203.0910,883.831665039063
14,213.0928,4800.349609375
15,214.0959,949.571716308594
16,215.1023,1027.76379394531
17,224.1059,3445.8251953125
18,225.0989,2064.23486328125
19,226.0976,820.288635253906
20,227.1063,1509.09326171875
21,228.1213,1606.3701171875
22,229.0915,1310.81494140625
23,239.1045,1293.23266601563
24,240.1027,1270.17114257813
25,241.1082,30818.47265625
26,242.1116,6282.755859375
27,243.1176,1236.10668945313
28,252.1018,1447.13989257813
29,254.1157,994.49365234375
30,255.1117,1788.19921875
31,256.1327,29660.779296875
32,257.1339,5710.65576171875
33,266.1165,1370.62182617188
34,267.1108,969.32177734375
35,269.1081,1185.7080078125
36,270.1341,2602.35961914063
37,280.1323,1945.77978515625
38,283.1192,1633.71252441406
39,286.1424,865.274169921875
40,298.1436,80078.484375
41,299.1467,15658.4599609375
42,300.1489,1995.41418457031
43,314.1378,3380.96948242188
44,315.1429,1102.82019042969
45,316.1542,46847.046875
46,317.1568,9031.2080078125
47,318.1587,1215.40100097656
48,332.1481,1428.33923339844
49,420.0248,1143.18029785156
