#"+ESI Scan:2 (rt: 2.211-2.399 min, 12 scans) Frag=150.0V CID@30.0 AIF_oxycodone_0_30_60_nitrogen.d "
#Point,X(Thomsons),Y(Counts)
0,70.0649,732.061645507813
1,95.0839,221.072616577148
2,108.0807,250.427017211914
3,114.0544,151.700698852539
4,142.0863,193.602233886719
5,161.0820,231.892486572266
6,175.0751,486.867431640625
7,181.0641,366.028411865234
8,187.0747,1443.63732910156
9,188.0760,175.411880493164
10,189.0905,220.009841918945
11,197.0582,192.266265869141
12,199.0743,340.391540527344
13,202.0850,257.066955566406
14,213.0920,646.050842285156
15,224.1050,470.270385742188
16,225.0990,251.390167236328
17,227.1050,191.858489990234
18,228.1239,204.779678344727
19,229.0899,176.135528564453
20,239.1038,170.029647827148
21,241.1080,4417.50390625
22,242.1126,915.234680175781
23,243.1189,173.583709716797
24,252.1022,257.678497314453
25,254.1162,188.881881713867
26,255.1116,239.467758178711
27,256.1320,4406.97607421875
28,257.1343,872.658569335938
29,266.1162,244.013549804688
30,270.1329,296.695953369141
31,280.1314,292.170745849609
32,283.1182,260.911407470703
33,298.1433,14425.818359375
34,299.1465,2959.38134765625
35,300.1505,376.336761474609
36,314.1382,589.748779296875
37,315.1437,202.62939453125
38,316.1536,9243.9345703125
39,317.1573,1900.03747558594
40,318.1567,242.82829284668
41,332.1477,188.376647949219
42,420.0253,171.21516418457
