#"+ESI Scan:2 (rt: 2.366-2.571 min, 13 scans) Frag=150.0V CID@30.0 AIF_oxycodone_0_30_60_Nitrogen_10 ppm.d "
#Point,X(Thomsons),Y(Counts)
0,58.0666,1541.2255859375
1,70.0665,4645.3681640625
2,95.0866,1069.92358398438
3,108.0809,758.856811523438
4,161.0817,1356.70776367188
5,175.0772,2791.7333984375
6,181.0666,1755.65246582031
7,187.0767,7730.74462890625
8,188.0809,1088.38000488281
9,189.0909,1005.73126220703
10,197.0612,1143.64636230469
11,199.0770,1712.56225585938
12,202.0884,1569.76928710938
13,213.0948,3710.494140625
14,224.1082,2593.173828125
15,225.1007,1549.44494628906
16,227.1075,1163.30407714844
17,228.1214,1125.84887695313
18,229.0930,1062.46789550781
19,239.1056,1064.65576171875
20,240.1043,835.328063964844
21,241.1105,23493.263671875
22,242.1143,4732.07763671875
23,243.1223,950.603942871094
24,252.1031,1248.58728027344
25,255.1136,1279.76806640625
26,256.1350,23517.6875
27,257.1357,4893.033203125
28,266.1183,1006.54333496094
29,270.1365,1849.83532714844
30,280.1344,1600.27429199219
31,283.1219,1333.17248535156
32,286.1449,761.710388183594
33,298.1463,73468.359375
34,299.1490,14244.7978515625
35,300.1509,1843.42077636719
36,314.1406,4063.79956054688
37,315.1458,1013.55023193359
38,316.1567,49347.72265625
39,317.1597,9440.0546875
40,318.1618,1294.7333984375
41,332.1509,1101.89782714844
42,373.0838,750.984008789063
43,420.0289,1074.80297851563
